State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
ARKANSAS,5,LEE,77,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,LEE,77,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,LONOKE,85,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,LONOKE,85,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,MONROE,95,,SORGHUM - OPERATIONS WITH SALES,5
ARKANSAS,5,MONROE,95,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,PHILLIPS,107,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,PHILLIPS,107,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,PRAIRIE,117,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,PRAIRIE,117,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,SAINT FRANCIS,123,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,SAINT FRANCIS,123,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,WOODRUFF,147,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,WOODRUFF,147,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,CLAY,21,,SORGHUM - OPERATIONS WITH SALES,4
ARKANSAS,5,CLAY,21,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,CRAIGHEAD,31,,SORGHUM - OPERATIONS WITH SALES,1
ARKANSAS,5,CRAIGHEAD,31,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,GREENE,55,,SORGHUM - OPERATIONS WITH SALES,5
ARKANSAS,5,GREENE,55,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,JACKSON,67,,SORGHUM - OPERATIONS WITH SALES,2
ARKANSAS,5,JACKSON,67,,"SORGHUM - SALES, MEASURED IN $",0
ARKANSAS,5,LAWRENCE,75,,SORGHUM - OPERATIONS WITH SALES,2
