time,latitude,longitude,tmpsfc,tmp2m,ugrd10m,vgrd10m
UTC,degrees_north,degrees_east,K,K,m s-1,m s-1
2023-01-01T12:00:00Z,40,80,268.70016,270.86346,-1.2098438,0.97097653
2023-01-01T12:00:00Z,40,85,271.10016,271.46347,-0.7998437,-0.23902343
2023-01-01T12:00:00Z,40,90,270.20016,270.80347,-1.3398438,-0.9590234
2023-01-01T12:00:00Z,40,95,265.80014,266.98346,0.39015624,0.09097656
2023-01-01T12:00:00Z,40,100,265.50015,267.21347,-0.58984375,0.44097656
2023-01-01T12:00:00Z,40,105,263.50015,265.30347,1.2601563,-1.9190234
2023-01-01T12:00:00Z,40,110,264.10016,265.43347,1.6401563,-1.0790234
2023-01-01T12:00:00Z,40,115,260.70016,263.56348,0.19015625,-0.35902342
2023-01-01T12:00:00Z,40,120,275.40015,273.11346,-0.83984375,0.16097656
2023-01-01T12:00:00Z,40,125,261.20016,262.00348,1.5201563,-1.7890234
2023-01-01T12:00:00Z,40,130,281.30014,275.77347,4.6201563,-5.8990235
2023-01-01T12:00:00Z,45,60,280.00015,277.71347,8.030156,8.690976
2023-01-01T12:00:00Z,45,65,270.30014,271.96347,-0.6898437,3.7609766
2023-01-01T12:00:00Z,45,70,265.80014,268.37347,-3.6398437,0.08097656
2023-01-01T12:00:00Z,45,75,266.40015,268.47348,-2.6098437,0.35097656
2023-01-01T12:00:00Z,45,80,252.60014,254.08347,2.570156,2.8809764
2023-01-01T12:00:00Z,45,85,260.00015,262.13348,-1.5698438,-0.9190234
2023-01-01T12:00:00Z,45,90,258.00015,260.72348,-0.01984375,-1.4390234
2023-01-01T12:00:00Z,45,95,257.30014,259.44348,0.7601562,1.6509765
2023-01-01T12:00:00Z,45,100,256.00015,258.83347,-0.58984375,0.87097657
2023-01-01T12:00:00Z,45,105,255.00015,258.69348,-0.23984374,-0.56902343
2023-01-01T12:00:00Z,45,110,253.90015,256.67346,2.4701562,0.31097656
2023-01-01T12:00:00Z,45,115,249.70015,251.93347,4.420156,-3.8590233
2023-01-01T12:00:00Z,45,120,253.90015,255.64348,4.6601562,-3.1790233
2023-01-01T12:00:00Z,45,125,254.20015,255.95348,2.8801563,0.95097655
2023-01-01T12:00:00Z,45,130,252.30016,254.42348,5.150156,-1.0990235
2023-01-01T12:00:00Z,50,60,267.50015,269.95346,-1.5498437,2.5109766
2023-01-01T12:00:00Z,50,65,269.40015,270.21347,-2.7598436,2.0809765
2023-01-01T12:00:00Z,50,70,253.50015,256.91348,-1.3198438,1.8909765
2023-01-01T12:00:00Z,50,75,262.60016,264.12347,2.4701562,2.0709765
2023-01-01T12:00:00Z,50,80,265.70016,266.62347,2.7201562,5.7909765
2023-01-01T12:00:00Z,50,85,257.30014,259.84348,-0.29984373,1.6409765
2023-01-01T12:00:00Z,50,90,246.30016,251.81348,1.5801562,-1.2690234
2023-01-01T12:00:00Z,50,95,244.10014,246.45348,-0.41984373,0.52097654
2023-01-01T12:00:00Z,50,100,243.40015,247.11346,0.42015624,-0.4290234
2023-01-01T12:00:00Z,50,105,245.80016,248.28348,1.7601562,-0.5090234
2023-01-01T12:00:00Z,50,110,242.00015,243.92348,1.0601562,1.0009766
2023-01-01T12:00:00Z,50,115,252.10014,255.10347,3.820156,-2.2290235
2023-01-01T12:00:00Z,50,120,240.70015,244.27347,1.2901562,1.1709765
2023-01-01T12:00:00Z,50,125,243.80016,246.12347,1.7101562,-0.49902344
2023-01-01T12:00:00Z,50,130,236.20015,239.78348,0.34015626,-0.8590234
2023-01-16T12:00:00Z,20,60,297.6661,296.0364,-3.4088793,-5.185029
2023-01-16T12:00:00Z,20,65,297.3661,295.3264,1.1411206,-4.765029
2023-01-16T12:00:00Z,20,70,297.5661,294.3764,1.2611206,-4.045029
2023-01-16T12:00:00Z,20,75,298.76608,300.1164,1.4411206,0.30497068
2023-01-16T12:00:00Z,20,80,296.6661,299.5764,1.6411206,-0.35502928
2023-01-16T12:00:00Z,20,85,294.0661,295.8464,-1.9288794,2.3349707
2023-01-16T12:00:00Z,20,90,298.5661,296.3364,-2.6488793,-1.6350293
2023-01-16T12:00:00Z,20,95,293.5661,296.6064,-1.8388793,-1.1550293
2023-01-16T12:00:00Z,20,100,291.26608,292.8664,-0.08887939,-0.10502929
2023-01-16T12:00:00Z,20,105,283.1661,283.3164,-0.9788794,0.4349707
2023-01-16T12:00:00Z,20,110,290.8661,287.7564,-5.778879,-3.2650292
2023-01-16T12:00:00Z,20,115,296.9661,294.3664,-9.228879,-8.115029
2023-01-16T12:00:00Z,20,120,299.76608,297.0464,-11.518879,-8.505029
2023-01-16T12:00:00Z,20,125,298.76608,296.5664,-8.00888,-11.215029
2023-01-16T12:00:00Z,20,130,299.6661,298.1164,-7.008879,-8.215029
2023-01-16T12:00:00Z,25,60,296.5661,294.5364,1.1111206,-1.0350293
2023-01-16T12:00:00Z,25,65,296.4661,293.0564,-3.1588793,0.3549707
2023-01-16T12:00:00Z,25,70,294.1661,294.9464,-0.88887936,-2.845029
2023-01-16T12:00:00Z,25,75,286.8661,289.5864,-1.1388794,-2.5950294
2023-01-16T12:00:00Z,25,80,285.0661,287.9564,-0.3788794,-2.5950294
2023-01-16T12:00:00Z,25,85,283.4661,287.7164,2.1311204,-1.1350293
2023-01-16T12:00:00Z,25,90,289.0661,291.6964,2.0411205,0.3249707
2023-01-16T12:00:00Z,25,95,289.9661,290.2564,0.5211206,-0.82502925
2023-01-16T12:00:00Z,25,100,277.9661,279.4464,2.0011206,1.1049707
2023-01-16T12:00:00Z,25,105,277.0661,277.1164,-1.1188793,-0.9050293
2023-01-16T12:00:00Z,25,110,276.4661,275.7764,-1.5388794,-2.3150291
2023-01-16T12:00:00Z,25,115,276.3661,276.3364,0.9111206,-2.9850292
2023-01-16T12:00:00Z,25,120,290.0661,284.9764,-9.00888,-12.055029
2023-01-16T12:00:00Z,25,125,295.5661,290.0264,-5.1188793,-9.335029
2023-01-16T12:00:00Z,25,130,297.0661,292.4064,-0.9988794,-10.16503
2023-01-16T12:00:00Z,30,60,287.9661,283.6264,2.3711205,-0.6650293
2023-01-16T12:00:00Z,30,65,280.4661,280.2064,0.9911206,-2.4850292
2023-01-16T12:00:00Z,30,70,283.1661,283.1764,-2.1388793,1.4349706
2023-01-16T12:00:00Z,30,75,284.3661,287.4564,1.7711205,-1.7250292
2023-01-16T12:00:00Z,30,80,273.76608,278.1764,-0.45887938,-0.3850293
2023-01-16T12:00:00Z,30,85,257.0661,256.3464,14.5811205,8.054971
